ID,Description,Entry_ID,Media_IDs,Semantic_Domain,alt_translation1,alt_translation2
SN000134,bundle; bale; ball,apakwar,26b3d1b2f6c6f6d0b28fdcc11aa37d33 ; 2150009e6bd040536f69c549f60a327d ; 90fc7ce62684c2bf43be19725f15513f,object,bulto; penga; ovillo,Bündel; Ballen; Knäuel
SN000135,fall over; shut,apara,1e3e933adb2ed49acfedc7d326ce5729 ; f76c8c98a01b4e4d585d99fe385b6ad5,action,caer; tumbar,"umfallen, umschnappen"
SN000136,strike down; turn down,LX000066,73b9ba173fbf3db0cf6d728382900543,activity,derribar; doblar,zuschlagen; umklappen
SN000137,frizzy hair,aparera,92ef64f25a8908e8dd50c6802c830f3c,body part,pelo crespo,"gewelltes, gekräuseltes Haar"
SN000138,pound; grind; crush,apaso,65c24ac89b18565ec99278e8a8b903c2 ; 8fbaa9ec1115acc03e90a45347101ae7,activity,desmenuzar; triturar; machucar,zerstossen; zerkleinern; zerquetschen
SN000139,colourless; dust-coloured; dusty; pale,LX000067,8b907b16b18a98e5e3a22276da979115 ; 54fdf44883bdc98c21d0e242e6c70539,colour,sin color; con color de polvo; polvoriento; pálido,farblos; blass ; farblos; staubfarben; staubig
SN000140,turn around; turn,apayere,083b89af213720bf3ad3e6663db922fb ; 33f6ef0a98e15470cbf033525502151b,action,voltear; girar,sich umdrehen; sich drehen
SN000141,skin; bark; surface; outside,ape_1,bae123478353bc1aa2766945f947563a ; f3bc0bdfa605d68c7b5849bb876333f0,plant - part; other,piel; cáscara; superficie; exterior,Haut; Rinde; Oberfläche; Außenseite
SN000142,gonorrhoea,ape_2,b9c1283c168458c4c40454b7c26610f9,health,gonorrea,Gonorrhoe
SN000143,coakroach,apeape,e14beeff388318712ab8127efddf1106,animal - insect,chulupi; cucaracha,Kakerlake
SN000144,a species of big cockroach of the forest,apeape_gwasu,e14beeff388318712ab8127efddf1106,animal - insect,una especie de cucaracha grande del bosque,große Schabenart des Waldes
SN000145,"a species of centipede, big and yellow",apeape_usa,61c26091bb17d94c2769238a3254a372,animal - myriapod,"una especie de milpiés, grande y amarillo","Tausendfüßlerart, groß und gelb"
SN000146,"a species of tree, with a big round fruit",LX000068,4ce9b3571bd3110faccf2200054e91cc,plant - tree,"una especie de árbol, con fruta grande y redonda","Baumart, mit großer runder Frucht"
SN000147,a species of fruit,LX000069,4ce9b3571bd3110faccf2200054e91cc,plant - fruit,una especie de fruta,Fruchtart
SN000148,crush; shatter,apeka,4523662afde504a25d33293601907375,activity,machacar; fracasar,zerstossen; zerschlagen
SN000149,domed; padded; bent open,apeno,65aa2bdc29d713ac37101cf160f21cf9 ; 9ba5b6baf1660b492fdee3c9e278b26a,state - size & shape,curvado; abombado; arrogado,gewölbt; wulstig; aufgebogen
SN000150,adjust; straighten,apengo,f9d4dc73c241e514be7f8b28af2a4155,activity,ajustar; rectificar,ausrichten; begradigen
SN000151,bloated,apepo,a5e0961679f2d40d5a492f69d9a3a3e5 ; bba18defbc41e340027382b5eb0b4f5b,property,hinchazón,Aufgeblähtheit
SN000152,"a species of root, medicinal plant against gonorrhoea (ape)",LX000070,b9c1283c168458c4c40454b7c26610f9 ; 8ea196a779456d9eaa13deb27852edc3,plant - part,"una especie de raíz, planta medicinal contra gonorrea (ape)","Wurzelart, Medizinalpflanze gegen Gonorrhöe (ape)"
SN000153,thrum; clank,apepu,b5c8b605aa4a67a3e6f6b302edfaac39,activity - sound,tintinear; tabletear,klimpern; scheppern
SN000154,a species of small rabbit,LX000071,ce8339923f122a2a92ef60a1176fcaeb,animal - mammal,una especie de conejo pequeño,kleine Kaninchenart
SN000155,I am grateful,LX000072,,human - emotion & cognition,estoy agradecido/-a,ich bin dankbar
SN000156,patch; stick; slap; cover; mend,apete,0e5ea2825916ead479dec983a99d9446,activity,parchear; pegar; tapar,flicken; picken; kleben; darauf klatschen; darauf patzen
SN000157,ribbon,LX000073,16b95979f060dd72f4989626acd476c9,clothes - adornment,cinta,Haarband
SN000158,tongue,LX000074,2692f05093af4f163d24178823e7df0d ; 0bde213794f5fb91bdfa8d93f559ba85,body part,lengua,Zunge
SN000159,palate; tip of the tongue,LX000075,2692f05093af4f163d24178823e7df0d ; 0bde213794f5fb91bdfa8d93f559ba85,body part,"paladar, velo palatino; la punta de la lengua","Gaumen, Gaumensegel; Zungenspitze"
SN000160,scrape off; rasp,LX000076,ee2b0eef6abff16c9dbbc73ce9cac682,activity,rascar; raspar,abkratzen; abschaben
SN000161,wound; open ulcer; dermatophytosis; ringworm (skin desease),LX000077,8700ef8f32cd24b83761ad91c149eb9b ; a0287e9a85d47b95007f6890ad159dec,health,llaga; caracha; herida; úlcera abierta; empeine (enfermedad de la piel),Wunde; offenes Geschwür; Hautpilz
SN000162,pigtail; queue of hair; hairstyle,LX000078,,human,trenza; moño; peinado,Zopf; Frisur
SN000163,throw; strike,api,72549d551dfe6832f458662b8a655d8c,activity,lanzar; acertar,werfen; treffen
SN000164,injure with a stabbing weapon (e.g. a knife),apicha,92119773c036311a59b25dfc09877b41,activity,herir con un arma blanca (p.ej. un cuchillo),mit einer Stichwaffe verletzen (z.B. ein Messer)
SN000165,wound,apichasa,92119773c036311a59b25dfc09877b41,health,herida,Wunde
SN000166,smell good,apiche,af746bb13cf07d98533cbd3f3314913f,property,oler bien,angenehm riechen
SN000167,bruise; wound; stroke; the thing that was thrown or the result,apigwer,72549d551dfe6832f458662b8a655d8c,health,herida; hematoma; golpe; lo que fue tirado o el resultado,Wunde; blauer Fleck
SN000168,dandruff,LX000079,,health,caspa,Schuppen
SN000169,"peel of rice or corn; rest of plants, leaves, used up",apindo,868f8916f40956229ea6326c15d18fb1 ; 13e3eecf8b1b1c27769dbc28d91c081c,food & drink,"cáscara de arroz o maíz; hojas, chalas que se dehacen","Rest von Blättern ; Schale von Reis, Mais"
SN000170,feathered headdress,apira,1e587fb0ca1e207603cc6532f7d3658b,clothes - adornment,plumero,Federschmuck
SN000171,surprise; meet somebody by coincidence,apirai_1,,activity,sorprender; encontrarse con alguién por casualidad,überraschen; jemanden zufällig treffen
SN000172,collide,apirai_1,a9827b8d385826a872849c720ee823b5,activity,chocar,zusammenstoßen
SN000173,frizzy hair,apirai_2,08d5d005632fe590c087a731e9536d13,human,pelo crespo,Kraushaar
SN000174,tear out hair; pluck,LX000080,170bdf9724114f06453ff30850e03386,activity,arrancar pelo; desplumar,Haare ausreißen; rupfen
SN000175,scratch somebody's body,LX000081,ce6e463ed441af9dc8a7349af77a7b90 ; effdda9f2eb3c2c81008320d312ca81b ; 12fcec951fb1d44f65d5ceeebe372503,activity,rascar el cuerpo,jemanden am Kopf oder Körper kratzen
SN000176,dry skin; dead skin; dandruff,LX000082,b796a9dbfa0c10b477629dcc861ebc83,body part,piel reseca; piel muerta; caspa,trockene Haut; tote Haut; Schuppen
SN000177,genitals (feminine),LX000083,5e1692570610f77a1496ba994202a4ca,body part,genitales (femenino),Geschlechtsteile der Frau
SN000178,genitals (masculine),LX000084,5e1692570610f77a1496ba994202a4ca,body part,genitales (masculino),Geschlechtsteile des Mannes
SN000179,cut hair,LX000085,7b8ceea3211fc52c6d461c1f8897b4b0,activity,cortar pelo,Haare schneiden
SN000180,baptize,LX000086,ffabb3ec5a4fed7d29d5b58ab2fc8d67 ; 0f9bec6c1b78374ced137cbf5c48d9da,activity,bautizar,taufen
SN000181,cry for somebody,LX000087,,activity,llorar por alguien; llorar por lástima,nach jemandem weinen
SN000182,big; full; swollen,LX000088,d3570a6d67fd48de8c812dc2308c8030 ; c2188b1c9e6e1fa17cfc28ef8d99d214,property,gordo; lleno; hinchado,dick; voll; geschwollen
SN000183,link,LX000089,2d5faccd4d5601aa908b0cd2528acc0f,other,unir,verbinden
SN000184,ripe,LX000090,d2faaeaaee223bd9cf98f4815228843e,state,maduro,reif
SN000185,pigeon,LX000091,c176ae34835bf431736518f7f4f1268d,animal - bird,paloma,Taube
SN000186,row somebody,LX000092,794111189d459a35fee1c3b4566f3dba,activity,remar a alguien,jemanden rudern
SN000187,paddle,LX000093,56a3956e2b83a68f8dce799bc6310d63,object - vehicle,remo,Paddel
SN000188,dip into; put in,LX000094,b6cf9d40cc209516481e151080a137be,activity,hundir; meter,eintauchen; hineindrücken
SN000189,bend; fold,LX000095,6158330ad8c8b189e0ef992f44bb5b7c ; 3312b7b826b7a20a5c5efcf3bd2c6f2e,activity,doblar; torcer,eindrehen; einknicken
SN000190,top; end; outmost point,LX000096,,location,punta; cima; fin; punto final,Spitze; Ende; äußerster Punkt
SN000191,behind,LX000096,6158330ad8c8b189e0ef992f44bb5b7c ; c78bdc4480a9b809c702fc3d5dccc950,location,atrás,hinter; am Ende von
SN000192,bend the point of something,LX000097,82e37e690aec51755f90e25693f74c5e,activity,doblar la punta,die Spitze umbiegen
SN000193,skip; avoid; surpass,LX000098,0328b50c5ef4032fe47613885816dc1c ; 77acf66bae35ed43a57d0136f9932ad1,activity,saltar; omitir; sobrepasar,überspringen; vermeiden; übertreffen
SN000194,piece; lump,LX000099,d5b2513149892fd9faf1759c12c5e7dc,quantity,pedazo; trozo,Stück: Brocken
SN000195,inflexible; solid; coagulated; thick; ice,LX000100,c960f9c0ea448d86155070a40a0cfb1a ; 20127ccf04872b820d4d7aabe1565344,property,tieso ; tieso; sólido; cuajado; espeso; hielo,steif; fest; gestockt; dick; Eis
SN000196,tip,LX000101,40c36ad791c1f76afd6a9b3a827331b3,size & shape,punta,Spitze; Ende
SN000197,neighbour,LX000102,6f4defb2f3bf1c7cc78fba7f271f7743,social relations,vecino,Nachbar
SN000198,behind; at the end,LX000103,281582e2bf5f81b280f2e2985ebe15cd ; c78bdc4480a9b809c702fc3d5dccc950,location,atrás; al final,hinter; am Ende
SN000199,whip; ill-treat; strike dead,LX000104,2670dbeb0025943da188a1c7e111c59d,activity,aporrear; hechar látigo; matar a golpes,auspeitschen; schinden; erschlagen
SN000200,sense of hearing,LX000105,07491ee65f2810cacee75402878a8b63 ; 40093a56ca2805e1d9e3870d068c3a1b,body function,oído,Gehör (Sinn)
