ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Sense_IDs,alt_translation1,alt_translation2
XV000031,gyr,che akɨ,,,"I am tired, I am lazy",,,Hoeller 1932a:28,SN000058,"estoy cansado/-a por el trabajo, estoy flojo/-a, me siento sin gana","ich bin müde von der Arbeit, ich bin schlapp"
XV000032,gyr,ñäkɨ̈ vusu ai,,,completely wet,,,Hoeller 1932a:151,SN000060,totalmente mojado,ganz durchnässt
XV000033,gyr,ɨvɨ akɨ̈tä,,,a piece of soil,,,Hoeller 1932a:28,SN000061,un trozo de tierra,ein Klumpen Erde
XV000034,gyr,ayako,,,"I embrace him/her, like the boys in a fight",,,Hoeller 1932a:7,SN000062,le envuelvo como los muchachos en la lucha,ich umfasse ihn/sie wie die Jungen bein Raufen
XV000035,gyr,akoi peve,,,over there,,,Hoeller 1932a:7,SN000063,allá,"dort (Hoeller ""eben dort"")"
XV000036,gyr,amboaku,,,to heat,,,Hoeller 1932a:7,SN000067,calentar,erhitzen
XV000037,gyr,akuchi kwar,,,the agouti's cave,,,Hoeller 1932a:7,SN000069,la cueva del jochi colorado,die Höhle des Aguti
XV000038,gyr,añemoakui,,,I am losing my hair,,,Hoeller 1932a:8,SN000072,se está cayendo mi pelo,mir fallen die Haare aus
XV000039,gyr,ambo'akuvo,,,I make him/her sweat,,,Hoeller 1932a:7,SN000073,le hago sudar,ich bringe ihn/sie zum Schwitzen
XV000040,gyr,ɨvɨ akwänger,,,jut of the earth,,,Hoeller 1932a:7,SN000075,saliente de la tierra,Erdvorsprung
XV000041,gyr,amanakɨ,,,rain,,,Hoeller 1932a:13,SN000081,lluvia,Regen
XV000042,gyr,che amɨ̈rï viña,,,I almost died (the tree fell down that near),,,Hoeller 1932a:15,SN000084,casi me hubiera muerto (tan cerca se cayó el árbol),ich wäre fast gestorben (so nah ist der Baum gefallen)
XV000043,gyr,yamɨ̈rï va'e,,,the deceased ones,,,Hoeller 1932a:277,SN000084,los difuntos,die Verstorbenen
XV000044,gyr,kie mbɨa amo,,,anybody,,,Hoeller 1932a:15,SN000085,cualquier persona,irgendein
XV000045,gyr,amombɨrɨ sekoi,,,"he/she lives very far, he/she is far away",,,,SN000086,está/vive muy lejos,er ist/wohnt sehr weit weg
XV000046,gyr,ayamotare'ɨ̈,,,"I hate him/her, I despise him/her, I am his/her enemy",,,,SN000087,"le odio, le desprecio, soy su enemigo/-a","ich hasse ihn/sie,, ich verachte sie/ihn, ich bin sein/ihr Feind"
XV000047,gyr,amöve yepi,,,"mostly, almost always, usually",,,Hoeller 1932a:15,SN000089,"en la mayoría de los casos, casi siempre, normalmente","meistens, fast immer, normalerweise"
XV000048,gyr,amba'ɨva,,,ambaibo fruit,,,,SN000090,fruta de ambaibo,Frucht des Ambaibo
XV000049,gyr,ambere voi,,,a species of animal,,,,SN000094,una especie de animal,eine Tierart
XV000050,gyr,ambere voi,,,a pecies of animal,,,,SN000095,una especie de animal,eine Tierart
XV000051,gyr,ndache'ambotai,,,"he/she doesn't like me, he/she hates me",,,Hoeller 1932a:14,SN000099 ; SN000103,"no me quiere, me odia","er mag mich nicht, er hasst mich"
XV000052,gyr,ambota puku,,,long beard,,,Hoeller 1932a:276,SN000100,barba larga,langer Bart
XV000053,gyr,yambota gwasu,,,he has a thick beard,,,Hoeller 1932a:276,SN000100,él tiene mucha barba,er hat dichten Bart
XV000054,gyr,yambu,,,they grunt,,,,SN000104,gruñen,sie grunzen
XV000055,gyr,ambuae reta,,,others,,,Hoeller 1932a:14,SN000105,otros,andere
XV000056,gyr,ka'a ana,,,dense forest,,,,SN000106,"bosque tupido, monte denso",dichter Wald
XV000057,gyr,ani ete,,,in no way,,,Hoeller 1932a:18,SN000108,de ningún modo,auf keinen Fall
XV000058,gyr,aña ruvicha,,,"Lucifer, Satan",,,,SN000113,"Lucifer, Satanás",Teufel
XV000059,gyr,ëgwi añei,,,"this is how it works, it works like that",,,Hoeller 1932a:18,SN000116,así funciona,so geht es
XV000060,gyr,nde añekora eiko che rese,,,I take you with me to attend me,,,Hoeller 1932a:18,SN000117,yo te llevo para atenderme,ich nehme dich zu meiner Bedienung mit; du hast dich um mich zu kümmern
XV000061,gyr,pɨ'a añeko / añekosa,,,sadness of the heart,,,Hoeller 1932a:18,SN000118,aflicción del corazón,Betrübnis des Herzens
XV000062,gyr,añi'ivëi ve,,,in the morning,,,Hoeller 1932a:18,SN000119,"en la madrugada, en la mañana","in der Frühe, am Morgen"
XV000063,gyr,che andukatu,,,he/she could hear/feel me,,,Hoeller 1932a:16,SN000123,me pudo oír/sentir,er hat mich gut gehört/gefühlt (Hoeller)
XV000064,gyr,che angai,,,I am thin,,,Hoeller 1932a:16,SN000124,estoy flaco/-a,ich bin mager
XV000065,gyr,che angaipa,,,"I have sinned, I am lazy",,,Hoeller 1932a:16,SN000125,"he pecado, soy flojo/-a","ich habe gesündigt, ich bin faul"
XV000066,gyr,añangaongao teï,,,"I criticize him/her, I grumble about him/her",,,Hoeller 1932a:150,SN000127 ; SN001487,"le critico, gruño de él/ella",ich murre oder kritisiere über ihn
XV000067,gyr,añangao,,,I am grumbling against him/her,,,Hoeller 1932a:17,SN000127 ; SN001487,regaño en contra de él/ella,ich murre gegen ihn
XV000068,gyr,oso anga'u,,,he/she got off easy (nothing happened to him/her),,,Hoeller 1932a:17,SN000128,"se salvó (sin que le pasó nada), se fue sin querer",er/sie ist so davongekommen (ohne dass ihm/ihr etwas geschehen wäre)
XV000069,gyr,che ao eme!,,,Don't cover me!,,,,SN000129,No me tapes!,Bedecke mich nicht!
XV000070,gyr,aipoapa,,,wind a string (with the hand); I bend his/her hand,,,Hoeller 1932a:19,SN000130,ovillar hilo; le doblo la mano,Faden aufwickeln; jemandem die Hand umknicken
XV000071,gyr,ñapachï va'e,,,"whitish, whitened",,,"Hoeller 1932a:20, 151",SN000132,"desteñido, blanqueado","weißlich, verfärbt"
XV000072,gyr,inimbo apakwar,,,clew of thread,,,Hoeller 1932a:19,SN000134,ovillo de hilo,Fadenknäuel
XV000073,gyr,ayeapara,,,I fell down,,,,SN000135,yo me caí,ich bin gefallen
XV000074,gyr,ayaparaitɨ,,,"I strike it down, I close it like a trap door, I turn it down",,,Hoeller 1932a:20,SN000136,"lo derribo, lo cierro como un escotillón, lo doblo","ich schlage es nieder/zu, wie eine Falltür, klappe es um"
XV000075,gyr,iaparera va'e,,,frizzy like black people,,,Hoeller 1932a:165,SN000137,crespo como las personas negras,kraushaarig wie die Schwarzen
XV000076,gyr,sova apatuvɨ,,,his/her face is pale,,,Hoeller 1932a:20,SN000139,su cara está pálida,er/sie hat ein blasses Gesicht
XV000077,gyr,ayemoapayere,,,"I turn myself around, I do a somersault, I am tumbling(?)",,,Hoeller 1932a:20,SN000140,"me giro alrededor de mi mismo, doy volteretas, me ruedo","ich drehe mich um mich selbst, ich mache einen Purzelbaum, ich kugle mich herum"
XV000078,gyr,che apayere,,,"I turn around, I do somersaults, I roll around",,,Hoeller 1932a:278,SN000140,"doy vueltas, doy volteretas, me revuelco ; ich drehe mich herum, mache einen Purzelbaum, wälze mich herum",
XV000079,gyr,che pɨ'a aramo araya,,,I only believe superficially,,,Hoeller 1932a:21,SN000141,solo creo superficialmente,ich glaube nur oberflächlich
XV000080,gyr,apepösa,,,a plant that cures gonorrhoea,,,Hoeller 1932a:20,SN000142,una planta para curar gonorrea,eine Heilpflanzen gegen Gonorrhoe
XV000081,gyr,apeape usa,,,centipede,,,Hoeller 1932a:21,SN000143,cienpiés,Tausendfüßler
XV000082,gyr,apeɨ'a,,,the fruit of this tree (apeɨ),,,Hoeller 1932a:21,SN000146,la fruta de este árbol (apeɨ),die Frucht dieses Baumes (apeɨ)
XV000083,gyr,a'e nde apeka gwasu,,,he/she caused a big rupture on you,,,Hoeller 1932a:279,SN000148 ; SN003148,te hizo un tajo grande,er hat dir aber einen grossen Riss beigebracht
XV000084,gyr,ɨ apeno,,,wave,,,Hoeller 1932a:279,SN000149,ola,Welle
XV000085,gyr,ambo'apeno perɨ,,,"I make a curved path, I make a dyke",,,,SN000149,"hago el camino curvado, hago un terraplén","ich mache den Weg gewölbt, ich mache einen Deich"
XV000086,gyr,ayapengo,,,"I adjust it, I straighten it",,,Hoeller 1932a:21,SN000150,"lo ajusto, rectifico algo","ich richte es aus, ich richte etwas gerade"
XV000087,gyr,yapepo gwasu omano/oyuka,,,he/she died of oedema/hydropsy,,,Hoeller 1932a:21,SN000151,murió de hidropesía,er starb an Wassersucht
XV000088,gyr,ayapete,,,"I stick it, I patch it, I solder it, I put it on top, e.g. the white clay on the sugar for cleaning it",,,Hoeller 1932a:22,SN000156,"le pego, lo remendo, lo sueldo, lo pongo encima, p.e. el barro blanco en la caña para limpiarla","ich schlage ihn, flicke es, picke es, löte es, patze etwas darauf z.B. den weissen Lehm auf den Zucker zur Reinigung"
XV000089,gyr,apësa,,,hair ribbon,,,Hoeller 1932a:21,SN000157,cinta del pelo,Haarband
XV000090,gyr,"apëku achï, apëkuchï",,,palate; tip of the tongue,,,Hoeller 1932a:21,SN000158,"paladar, velo palatino; la punta de la lengua","Gaumen, Gaumensegel; Zungenspitze"
XV000091,gyr,aipɨpëpï,,,"I scrape it off from the inside, I clean it inside",,,Hoeller 1932a:21,SN000160,"lo rasco, lo raspo, lo limpio adentro","ich kratze es weg, schabe es ab, putze es von innen"
XV000092,gyr,apigwer,,,"the sign of a stroke, e.g. bruise, wound (""thrown, stroke"")",,,Hoeller 1932a:22,SN000163,"signo de un golpe, p.e. hematoma, herida (""tirado, lanzado, acertado"")","Zeichen eines Schlages, z.B. blauer Fleck, Wunde"
XV000093,gyr,apichasa,,,injury,,,Hoeller 1932a:22,SN000164,herida,Wunde
XV000094,gyr,ndoyavɨi munduvi apichegwer,,,it has the taste of peanuts,,,Hoeller 1932a:22,SN000166,tiene sabor a maní,es hat den Geschmack von Erdnuss
XV000095,gyr,añapindo (2019) ayapindo,,,"I peel it like maize or rice, I take off the peel, I burn it like fire or freeze burns the leaves",,,Hoeller 1932a:22,SN000169,"lo pelo como el maíz o el arróz, saco la cáscara, lo quemo como el sol o la helada quema las hojas","ich schäle es wie Mais oder Reis, ich befreie es von der Schale, ich versenge es wie Feuer oder Reif die Blätter"
XV000096,gyr,ayapirai mbɨa igwayɨ va'e / ivava va'e,,,I surprise or encounter people playing or fighting,,,Hoeller 1932a:23,SN000172,sorprendo o pilló gente jugando o peleando,ich überrasche oder ertappe spielende oder raufende Leute
XV000097,gyr,ayapiravo'o,,,I tear out his/her hair,,,Hoeller 1932a:23,SN000174,le arranco el pelo,ich reiße ihm/ihr die Haare aus
XV000098,gyr,ayeapirë'ɨ̈i,,,I scratch my head,,,Hoeller 1932a:280,SN000175,me rasco la cabeza,ich kratze mich am Kopfe
XV000099,gyr,che apï eve,,,you cut my hair,,,Hoeller 1932a:22,SN000179,me cortas el pelo,du schneidest mir die Haare
XV000100,gyr,che apïta,,,I am full (my body is complete?),,,Hoeller 1932a:23,SN000182,estoy lleno (mi cuerpo está completo?),"ich bin voll, satt (ich bin voll ausgebildet)"
XV000101,gyr,yoapɨ,,,linked like the parts of a chain,,,Hoeller 1932a:23,SN000183,unidos como los eslabones de una cadena,zusammengehängt wie die Glieder einer Kette
XV000102,gyr,iyapɨ mberɨ,,,the plantains are ripe,,,Hoeller 1932a:23,SN000184,los plátanos están maduros,die Bananen sind reif
XV000103,gyr,apɨkasu kiesa,,,dovecote,,,Hoeller 1932a:23,SN000185,palomar,Taubenschlag
XV000104,gyr,ayapɨkui,,,I row him/her,,,Hoeller 1932a:23 ; Hoeller 1932a:280,SN000186 ; SN000187,le remo a él/ella,ich rudere ihn/sie
XV000105,gyr,ayapɨpɨi,,,"I put it in, I press it, I dip it into the water",,,Hoeller 1932a:23,SN000188,"lo meto, lo apreto, lo hundo en agua","ich stopfe es hinein, drücke es hinein, drücke es fest, tauche es hinein"
XV000106,gyr,ayapɨpoka,,,I bend the tip of something,,,"Hoeller 1932a:24, 280",SN000189 ; SN003167,yo tuerzo la punta de algo,ich drehe die Spitze um
XV000107,gyr,ɨvɨ apɨr (2019: ɨvɨ aprɨ),,,the end of the earth (local),,,Hoeller 1932a:24,SN000191,el fin del mundo (local),das Ende der Welt (örtlich)
XV000108,gyr,yapɨrive agwatara,,,I will sit behind him on the horse,,,Hoeller 1932a:281,SN000191,me voy a sentar detrás de él en el caballo,ich werde mich hinter ihm aufs Pferd setzen
XV000109,gyr,ayapɨrapa,,,I bend its tip,,,Hoeller 1932a:280,SN000192 ; SN003168,yo le doblo la punta,ich knicke die Spitze um
XV000110,gyr,mba'e mombe'u apɨrasasa,,,"exaggeration, boast",,,Hoeller 1932a:24,SN000193,"exageración, chisme","übertreibung, Aufschneiderei"
XV000111,gyr,ɨvɨra apɨrasɨ,,,"a piece of wood, the tip of the wood",,,Hoeller 1932a:24,SN000194,"un trozo de madera, la punta de la madera",ein Stück Holz / eine Holzspitze
XV000112,gyr,yapɨrepɨrer a'e ño i'ayu okwa,,,only the tips of the fruit are ripe,,,Hoeller 1932a:281,SN000196,solo las puntas de la fruta están maduras,nur die Spitzen der Frucht sind reif
XV000113,gyr,nde apɨrive agwatara,,,I will ride the horse sitting behind you,,,Hoeller 1932a:25,SN000198,voy a montar el caballo sentado detrás de vos,ich werde hinter dir auf dem Pferd sitzend reiten
XV000114,gyr,oyeapɨrüpa,,,he/she killed him-/herself by strokes,,,Hoeller 1932a:25,SN000199,"el se mató a si mismo a golpes, se mató","er/sie hat sich selbst erschlagen, umgebracht"
XV000115,gyr,che apɨsa kute,,,I can hear again (after an illnes of the ears),,,Hoeller 1932a:25,SN000200,ya estoy oyendo otra vez (después de la enfermedad de las orejas),ich kann wieder hören (nach einer Ohrenkrankheit)
XV000116,gyr,yapɨsae'ɨ̈ va'e,,,"deaf, stubborn, disobedient",,,Hoeller 1932a:281,SN000200,"sordo, caprichoso, desobediente","gehörlos, eigensinnig, ungehorsam"
XV000117,gyr,ɨvɨ apɨtepe,,,plain,,,Hoeller 1932a:25,SN000203,altiplano,"Ebene, weite glatte Fläche"
XV000118,gyr,ɨvɨtɨr apɨter (2019: ɨvɨtrɨ apɨter),,,the peak of the mountain,,,Hoeller 1932a:25,SN000204,la cima del cerro,der Gipfel des Berges
XV000119,gyr,oɨ apɨter (okapɨter = cumbrera),,,the roof ridge,,,Hoeller 1932a:281,SN000204,la cumbrera del techo,der Hausfirst
XV000120,gyr,ayapɨterakwävi,,,I am piling up something,,,Hoeller 1932a:281,SN000206,estoy amontonando algo,ich schichte oder türme etwas auf
XV000121,gyr,amboapɨterakwa,,,I heap it up,,,Hoeller 1932a:25,SN000206,lo amontono,"ich häufe es an, ich türme es auf"
XV000122,gyr,ka'apɨterakwa,,,"mountain top, forest knoll",,,Hoeller 1932a:185,SN000206,"cima, cumbre de cerro o monte","Gipfel des Berges, Waldkuppe"
XV000123,gyr,ayemoapɨtere/añemoapɨtere,,,I am getting bald little by little,,,Hoeller 1932a:25,SN000207,poco a poco me vuelvo calvo/-a,ich werde langsam kahl
XV000124,gyr,eyevɨ apɨ'ai,,,return soon!,,,Hoeller 1932a:23,SN000209,¡volvé pronto!,Komm gleich zurück!
XV000125,gyr,añapɨ̈chi oyo'ese,,,I marry them,,,Hoeller 1932a:26,SN000210,"les enlazo (los maridos), les cazo","ich verbinde sie, die Eheleute"
XV000126,gyr,che apɨ̈imbu,,,I wheeze,,,Hoeller 1932a:281,SN000211,respiro fuerte,ich schnaufe
XV000127,gyr,suvɨ apɨ̈tapɨ̈ta,,,the blood runs in trickle,,,Hoeller 1932a:25,SN000212,la sangre sale en hilos,das Blut rinnt ihm in dicken Bächen heraus
XV000128,gyr,che apɨ̈tü'u,,,my brain,,,Hoeller 1932a:27,SN000214,mi seso,mein Hirn
XV000129,gyr,oyeapɨ̈vɨi ɨyar,,,"water is entering into the canoe, it is sinking",,,Hoeller 1932a:26,SN000215,"agua entra a la canoa, se hunde","es läuft Wasser ins Kanu, es sinkt"
XV000130,gyr,amba'eapo,,,I work on a thing,,,Hoeller 1932a:27,SN000216,yo hago un trabajo,"ich schaffe, erledige eine Arbeit"
XV000131,gyr,amo'apo che kwä,,,I dislocate my finger,,,Hoeller 1932a:27,SN000217,me disloco el dedo,ich kugele mir den Finger aus
XV000132,gyr,oyeapoapɨ,,,he/she rolled himself up,,,Hoeller 1932a:282,SN000218,él/ella se enrolló,er hat sich aufgewickelt
XV000133,gyr,ɨapu,,,"rushing of the water, rippling",,,Hoeller 1932a:27,SN000221,"murmurar del agua, chapoteo","Rauschen des Wassers, Plätschern"
XV000134,gyr,po apu'a,,,fist,,,Hoeller 1932a:28,SN000223,puño,Faust
XV000135,gyr,ɨvɨ arasa,,,shovel,,,Hoeller 1932a:29,SN000224,pala,Schaufel
XV000136,gyr,o'arai va'e,,,"premature child, primature birth",,,Hoeller 1932a:31,SN000225,pretérmino,Frühgeburt / Frühgeborenes
XV000137,gyr,yarakañɨ̈ che mër,,,my husband fainted,,,Hoeller 1932a:30,SN000227,mi marido ya se desmayó,mein Mann ist ohnmächtig geworden
XV000138,gyr,che arakañɨ̈,,,"I am unconscious, fainted",,,Hoeller 1932a:283,SN000227,"estoy inconciente, desmayado",ich bin bewusstlos
XV000139,gyr,araka'e mini,,,a bit late,,,Hoeller 1932a:29,SN000228,un poco tarde,etwas spät
XV000140,gyr,amo'arakɨta,,,I decorate it with ormanents,,,Hoeller 1932a:32,SN000229,lo adorno con bordes,ich verziere es mit Borden
XV000141,gyr,ndiarakwaai va'e sese nära,,,he/she is not capable of doing this,,,Hoeller 1932a:30,SN000230,no está capaz de hacer eso,dazu ist er/sie nicht fähig
XV000142,gyr,che aramo / che arɨve,,,above me,,,Hoeller 1932a:31,SN000231,encima de mí,"über mir, auf mir"
XV000143,gyr,aramo ve opa oɨ'u,,,during daytime they finished the drink,,,Hoeller 1932a:31,SN000232,de día acabaron la bebida,sie haben mit dem Getränk schon tagsüber aufgeräumt
XV000144,gyr,amorangwer,,,I block the plan,,,Hoeller 1932a:32,SN000235,lo hago fracasar,ich vereitele es
XV000145,gyr,"arasa e'ë, arasa se'ë va'e",,,the sweet orange,,,Hoeller 1932a:32,SN000240,la naranja dulce,die süße Orange
XV000146,gyr,aravɨter apɨrer,,,end of the year,,,,SN000247,fin del año,Jahresende
XV000147,gyr,che ari'i,,,I have facial rash,,,Hoeller 1932a:32,SN000249,tengo erupción cutánea en la cara,ich habe Ausschlag im Gesicht
XV000148,gyr,arɨ katupɨrɨ / avɨyeite,,,"good day, good weather; east, rising sun",,,Hoeller 1932a:29,SN000250,"día bueno, tiempo bueno; este, salida del sol","guter Tag / gutes Wetter; Osten, Sonnenaufgang"
XV000149,gyr,"arɨ rusa (2019: arɨ yusa), arɨ sësa, arɨ semba?",,,east; sunrise,,,Hoeller 1932a:29,SN000251,este; salida del sol,"Osten, Sonnenaufgang, ?"
XV000150,gyr,"arɨ sosa, arɨ reikiesa",,,sunset; west,,,Hoeller 1932a:29,SN000251,anochecer; oeste,"Sonenuntergang, Westen"
XV000151,gyr,tenda arɨve egwapɨ,,,sit down on the armchair!,,,Hoeller 1932a:32,SN000259,sentáte en el sillón,nimm Platz auf dem Sessel
XV000152,gyr,arusu ätä,,,(brazilian) rice,,,Hoeller 1932a:34,SN000263,el arroz (brasileño),(brasilianischer) Reis
XV000153,gyr,arüka ipɨa ɨpɨpendar,,,the rib near the heart,,,Hoeller 1932a:34,SN000268,la costilla cerca del corazón,die Rippe beim Herzen
XV000154,gyr,arɨ rasɨ asa,,,penetrating sunbeam,,,Hoeller 1932a:37,SN000269,raya de sol penetrante,stechende Sonnenstrahlen
XV000155,gyr,ayeasei,,,"I am angry, I make an effort out of anger, I collect myself (for punishing him/her or for finishing my work soon), I am determined to do my work",,,Hoeller 1932a:37,SN000271,"me molesto, me canso por fastidio, me controlo/me propongo (a castigarle duro o terminar el trabajo pronto), estoy ""bravo por trabajar""","ich ärgere mich, strenge mich an aus Aerger, nehme mich zusammen, (ihn fest zu strafen oder die Arbeit bald zu vollenden,) bin ""wild auf die Arbeit"""
XV000156,gyr,amondo asero acha rese,,,"I attach the steal of the axe, I forge an axe",,,Hoeller 1932a:38,SN000272,hierro el hacha,"ich beschlage die Axt, gebe Stahl daran"
XV000157,gyr,ambo'asɨ,,,"I hate him/her, I regret it; I am angry at him/her",,,Hoeller 1932a:38,SN000273,"le detesto, me arrepiento; estoy enojado con él/ella","ich bin ihm feind, bereue es; ich bin sauer auf ihn/sie"
XV000158,gyr,ɨvɨra asɨa,,,saw,,,Hoeller 1932a:38,SN000274,sierra,Säge
XV000159,gyr,che asɨgwer,,,a part of me; my younger brother,,,Hoeller 1932a:286,SN000275,una parte de mí; mi hermano menor,"Teil von mir, item: mein jüngerer Bruder"
XV000160,gyr,repochi asɨi,,,I have to go to the bathroom urgently,,,Hoeller 1932a:38,SN000276,tengo que ir urgentemente al baño,ich muss dringend meine Notdurft verrichten
XV000161,gyr,sovasɨsa,,,towel for the face,,,Hoeller 1932a:340,SN000277,toalla/ trapo para lavar la cara,Gesichtstuch
XV000162,gyr,sokapɨr asoisa,,,"ridge pole, surubi",,,Hoeller 1932a:38,SN000278,"cumbrera, surubi","Firstbalken, Surubi"
XV000163,gyr,sovapɨ asoyakwer,,,cover,,,Hoeller 1932a:38,SN000280,tapa,Deckel
XV000164,gyr,"yasu'ai va'e, ava asu",,,left-hander,,,"Hoeller 1932a:38, 287",SN000281,zurdo,Linkshänder
XV000165,gyr,asukar repochi,,,sugar syrup,,,Hoeller 1932a:38,SN000282,barreno,"Barreno, der Zuckersurup, der nicht hart wird"
XV000166,gyr,ɨvɨ asuru,,,swamp,,,Hoeller 1932a:38,SN000283,pantano,"Sumpf, Moor"
XV000167,gyr,kwarepochi ata,,,bayonet,,,Hoeller 1932a:34,SN000284,bayoneta,Bajonett
XV000168,gyr,ñate'ɨ̈mbape,,,"lazy, lazily, careless",,,Hoeller 1932a:152,SN000286,"flojo, flojamente, descuidado","faul, auf faule Weise, nachlässig"
XV000169,gyr,ayatɨ tata,,,I cover the fire,,,Hoeller 1932a:34,SN000288,cubro el fuego,"ich bedecke das Feuer, schütte es zu"
XV000170,gyr,ndayatɨi,,,there aren't many / they are not many,,,Hoeller 1932a:34,SN000289,no son muchos,es sind nicht viele
XV000171,gyr,amonguru atɨ,,,"I crumble it, I flake it off (into many pieces)",,,Hoeller 1932a:146,SN000289 ; SN001176,lo desmenucé (en varios pedazos),"ich brösle es ab, bröckele es ab (in viele Stückchen)"
XV000172,gyr,ayatɨka che resa sese,,,I fix my eyes on it,,,Hoeller 1932a:34,SN000290,clavo mis ojos en eso,ich hefte meine Augen auf es
XV000173,gyr,yatɨkɨr,,,his/her temples,,,Hoeller 1932a:35,SN000291,sus sienes,seine/ihre Schläfen
XV000174,gyr,ambo'atɨvu,,,"I blur it (the liquid, the water)",,,Hoeller 1932a:34,SN000292,"lo turbo (el líquido, el agua)","ich trübe die Flüssigkeit, das Wasser, rühre den Bodensatz auf"
