ID,Language_ID,Headword,Part_Of_Speech,Borrowed_Word,Comment,Dialect_Genderlect_Info,Entry_IDs,Language_of_Origin,Media_IDs,Paradigm,Source_Citation_Form,Variant_Form
agwapeasoi,gyr,agwapeasoi,n,,,,agwape,gyr,a4a46525d9c4d8cfac2db76892205edd,,aguapeazoi (Hoeller 1932a:9); aguapocázoi (Hoeller 1929:5),
LX000005,gyr,agwape'i,n,,,,agwape,gyr,e1ddf40534588077d19337151409d53d,,aguapei (Hoeller 1932a:9),
agwapinda,gyr,agwapinda,n,,,,pinda,gyr,,"che agwapinda, ñagwapinda (3)",-; ñaguapinda ? (Hoeller 1929:63),
agwara,gyr,agwara,n,,,,,gyr,,,aguara (Hoeller 1932a:9); aguára (Hoeller 1929:5),
agwara_gwasu,gyr,agwara gwasu,n,,fox big,,agwara,gyr,,,aguara guazu (Hoeller 1932a:9); aguárâ guazu (Hoeller 1929:5),
LX000006,gyr,agwarachï,n,,fox-white,,agwara,gyr,82380b13d2e3511d59da2819ef333446,,aguarãchi (Hoeller 1932a:9); aguarachi (Hoeller 1929:5),
LX000007,gyr,agwarandɨpa,n,,,,agwara,gyr,b071b602f8d2df9132f694991098edf7,,aguarandìpa (Hoeller 1932a:9); aguarandupa (Hoeller 1929:5),
agwasa,gyr,agwasa,n,,,,,gyr,164273d240da90e02ca04ce05cf91360,"che agwasa, nde agwasa, yagwasa ; che agwasa, nde agwasa, yagwasa",aguaza (Hoeller 1932a:9); aguăza (Hoeller 1929:6),
LX000008,gyr,agwa'i,n,,,,LX000009,gyr,,,aguai (Hoeller 1932a:9; Hoeller 1929:5),
LX000009,gyr,agwa'i ɨ,n,Spa: aguaí,this tree has the rattling fruit called aguaí in Spanish,,LX000008,gyr; spa?,,,aguai ì (Hoeller 1932a:9; Hoeller 1929:5),
agwer,gyr,agwer,n,,"perfective form of 'hair', i.e. hair that is already off its origin, cut, shaved",,,gyr,8c4db38772b185c798184fca3ebabc8e,"che agwer, nde agwer, i'agwer","a, aguer (Hoeller 1932a:2)",
LX000010,gyr,agwe'a,n,,,,LX001809,gyr,a64a77d57b04e76a061d4e10d4c5c6e8,"che agwe'a, nde agwe'a, yagwe'a",aguea (Hoeller 1932a:9); aguéa (Hoeller 1929:6),
ai_1,gyr,ai,n,,,,sai_2,gyr,,"R-S-T-0; ai, rai, sai, tai",ai (Hoeller 1932a:12),
ai_2,gyr,ai,n,,"this form and the variants are often phonetically so close that they are spelt in one word, so it may look like a suffix sometimes",,,gyr,,,ai (Hoeller 1932a:11),"vai, ngai"
ai_3,gyr,ai,n,,,,yai_3,gyr,,yai (3),ai (Hoeller 1932a:12),
ai_ai,gyr,ai ai,intj,,,,,spa ; gyr,,,ai ai (Hoeller 1929:6); ai-ai (Hoeller 1929:6),
aimbe,gyr,aimbe,n,,,,,gyr,49f87d857a02645b6a578191656094ae,R-S-0,aimbe (Hoeller 1932a:12; Hoeller 1929:6),
aipo,gyr,aipo,part,,"in Hoeller's time, this was presumably still used as a demonstrative; however in 2019, it is only used as a quotative particle, and this must have been one of its functions already in Hoeller's time",,,gyr,0bd95f658a3341856aa13370f166bedd,,aipo (Hoeller 1932a:12); aípo (Hoeller 1929:6),
LX000011,gyr,aitɨ,v,,,,,gyr,,ayaitɨ,aitì (Hoeller 1932a:12),a'ɨtɨ
LX000012,gyr,aitöi,n,,Vocative,,,gyr,,VOC,aitoĩ (Hoeller 1932a:12); aî tói (Hoeller 1929:6),
aivete,gyr,aivete,n,,,,,gyr,,mbae aivete,"aivete, mbae aivete (Hoeller 1932a:12)",
LX000013,gyr,aɨsɨ,n,,,,LX000015,gyr,,yaɨsɨ,aìzì (Hoeller 1929:6),
LX000014,gyr,aɨsɨkwer,n,,,,,gyr,,,aìzìcuer (Hoeller 1932a:13),
LX000015,gyr,aɨsɨsɨ,n,,,,LX000013,gyr,,,aìzìzì (Hoeller 1932a:13),
aka,gyr,aka,v,,,,,gyr,8505014d5eee3ce445d8575f8f907ff3,"ayaka, ereyaka, oyaka","yaca (Hoeller 1932a:273); aca (Hoeller 1932a:5); âca, ayaâca (Hoeller 1929:4)",
akara,gyr,akara,n,,,,,gyr,,,acara (Hoeller 1932a:6),
akato,gyr,akato,adv,,,,,gyr,,yakato,"acato, yacato (Hoeller 1932a:6); acato, acatu (Hoeller 1929:4)",
akaya,gyr,akaya,n,,,,,gyr,,,acaya (Hoeller 1932a:6); acaya (Hoeller 1929:4),
LX000016,gyr,akaya'a,n,,,,,gyr,,,acayà a (Hoeller 1932a:6),
LX000017,gyr,akaya'ɨ,n,,,,akaya,gyr,,,acaya ì (Hoeller 1932a:6),
LX000018,gyr,akä,n,,,,,gyr,,"che akä, nde akä, ñakä",ãcã (Hoeller 1932a:6); âcâ (Hoeller 1929:4),
LX000019,gyr,akä apekwer,n,,lit. head bone-PFV,,LX000018,gyr,,che akä apekwer,ñãcã (Hoeller 1932a:149),akä kangwer
LX000020,gyr,akä pinda pinda,n,,lit. head curly,,pinda,gyr,,che akä pindapinda ñakä pindapinda (3),Hoeller 1932a:172 ; pinda - apira poi - ñaca pinda pinda (Hoeller 1929:74),
LX000021,gyr,akä ropa?,n,,"2019: ato kosa or ato koka; Hoeller's entry refers to the 'head' (akä), while today, the word refers to the 'neck' (ato)",,LX000018,gyr,,,âcâ ropa (Hoeller 1929:4),akä koka ; akä kosa
LX000022,gyr,akändape,n,,not confirmed (2019); -pe possibly the LOC,,LX000018,gyr,,ñakändape (3),-; ñacândape ? (Hoeller 1929:63),
LX000023,gyr,akändopɨr,n,,,,,gyr,,ñakändopɨr ve (3),-; ñacandopǐrbe ? (Hoeller 1929:63),
LX000024,gyr,akängao,v,,,,ao,gyr,819a28d54c235c187893e7e8616fd1bf,"añakängao, che akängao",angao (Hoeller 1932a:17; Hoeller 1929:8),
LX000025,gyr,akätuprɨsa,n,,,,,gyr,,,"ãcatuza, ãcatupìrìza (Hoeller 1932a:6)",akätusa
LX000026,gyr,akätusa,n,,,,,gyr,,,"ãcatuza, ãcatupìrìza (Hoeller 1932a:6)",akätuprɨsa
LX000027,gyr,akä'e,n,,,,,gyr,,,ãcãe (Hoeller 1932a:6); acaê (Hoeller 1929:4),
LX000028,gyr,akä'echï,n,,,,LX000027,gyr,,,acãẽchi (Hoeller 1932a:6),
LX000029,gyr,akɨ,n,,,,LX001820,gyr,7f85786e4b22d1e62ac10870852cdc0a,"che akɨ, nde akɨ, yakɨ","aquì; yaquì (Hoeller 1932a:28, 282); aquǐ (Hoeller 1929:12)",
LX000030,gyr,akɨrɨ,n,,2019: akrɨ,,LX000348,gyr,,i'a kɨrɨ,-; ǐa quǐr id: ià quǐr (Hoeller 1929: 40),akɨrɨkrɨ
LX000031,gyr,akɨ̈,n,,,,,gyr,e389eaf28cc980c46bf58fc64ce00363,"che akɨ̈, nde akɨ̈, ñakɨ̈","aquỹ, ñaquỹ (Hoeller 1932a:28), ñãquỹ (Hoeller 1932a:151); ñâquý (Hoeller 1929:64)",
LX000032,gyr,akɨ̈tä,n,,,,LX000650,gyr,,,aquỹtã (Hoeller 1932a:28); ñãquỹtanguer (Hoeller 1932a:151),akɨ̈tängwer
ako,gyr,ako,v,,,,yako,gyr,8117fd7961036a8b88c1c25e3c9b9ef7,"ayako, ereyako, oyako, yayeako, amboyeako",aco (Hoeller 1932a:7),
akoi,gyr,akoi,dem,,,,,gyr,,,acoi (Hoeller 1932a:7; Hoeller 1929:5),
akora,gyr,akora,n,,,,,gyr,,,acora (Hoeller 1929:4),
LX000033,gyr,akotɨ,adv,,,,LX000537,gyr,,,aongotǐ (Hoeller 1929:8),
LX000034,gyr,akö'e,n,,,,,gyr,,"cha akö'e, iakö'e",acoẽ (Hoeller 1932a:7); acoê (Hoeller 1929:4),
aku,gyr,aku,n,,,,,gyr,,"R-S-T-0-y; che aku, nde aku, yaku","acu (tacu,zacu,racu) (Hoeller 1932a:7); acu (Hoeller 1929:5)",
LX000035,gyr,aku kɨ̈'ɨi,n,,,,,gyr,,,-; acucuýǐi (Hoeller 1929:118),
akuchi,gyr,akuchi,n,,,,,gyr,,,acuchi (Hoeller 1932a:7; Hoeller 1929:5),
LX000036,gyr,akuchi ɨva,n,,,,,gyr,,,acuchi ìba (Hoeller 1932a:7),
akuchi_yagwar,gyr,akuchi yagwar,n,,,,,gyr,,,acuchi yaguar (Hoeller 1932a:7),
akui,gyr,akui,n,,"a = hair, kui = fall, compound/incorporation",,kui_1,gyr,,RFLX-CAUS-akui = V,acui (Hoeller 1932a:8),
akuvo,gyr,akuvo,n,,,,,gyr,,"R-S-T-0-y; che akuvo, nde akuvo, yakuvo","acubo (T,Z,R,) (Hoeller 1932a:7)",
akwa,gyr,akwa,n,,,,kwasa,gyr,,,acua (Hoeller 1929:23),
LX000037,gyr,akwängwer,n,,,,,gyr,,,ãcuanguer (Hoeller 1932a:7),akwangwer
amambai,gyr,amambai,n,,,,,gyr,,,amambai (Hoeller 1929:7),
LX000038,gyr,amanakɨ,n,,,,,gyr,,,amanaqui (Hoeller 1932a:13),
amanda,gyr,amanda,n,,,,,gyr,,,amanda (Hoeller 1932a:13),
LX000039,gyr,amandɨ,n,,,,,gyr,,,amandì (Hoeller 1932a:13),
LX000040,gyr,amapɨ̈tu,n,,,,,gyr,,,ama pỹtũ (Hoeller 1932a:13),
amar,gyr,amar,n,,,,,gyr,,,amar (Hoeller 1932a:13); ama (Hoeller 1929:6),
amar_sunu,gyr,amar sunu,n,,,,,gyr,,,amar zunu (Hoeller 1932a:14),
amar_verakwer,gyr,amar verakwer,n,,"obsolete (2019); may only refer to the rain (amar), but Hoeller translates it as flash ('Blitz'); or misunderstood as amoverakwer",,veravera,gyr,,,ama veracuer (Hoeller 1932a:14); vera (Hoeller 1932a:269); vera - iverabae - amoveracuer - overa vera (Hoeller 1929:116),ama verakwer
LX000041,gyr,amɨ̈rï,n,,,,,gyr,c584a68e8bc8a0e86204f1f46fecb48b,"che amɨ̈rïrä, yamɨr̈rï",amỹrĩ (Hoeller 1932a:15); yamỹrĩ (Hoeller 1932a:277),
amo,gyr,amo,adv,,particle postponed to N or V,,,gyr,,N/V amo,amo (Hoeller 1932a:15),
LX000042,gyr,amombɨrɨ,adv,,2019: amombrɨ,,,gyr,,,amombìrì (Hoeller 1932a:15); amombǐrǐ (Hoeller 1929:7),
LX000043,gyr,amotare'ɨ̈,v,,,,,gyr,ac20836e33c6e2e4b68e19cb9aeef5c4,"che amotare'ɨ̈ (me odia), che ayamotare'ɨ̈, (che) oro'amotare'ɨ̈",amotareỹza (Hoeller 1932a:15); aotar éy (Hoeller 1929:8),
amoverakwer,gyr,amoverakwer,n,,obsolete (2019); nominalized (-kwer) form,,veravera,gyr,,,ama veracuer (Hoeller 1932a:14); vera - iverabae - amoveracuer - overa vera (Hoeller 1929:116),ama verakwer
LX000044,gyr,amöve,adv,,,,,gyr,,,"amobe (Hoeller 1932a:15) ; mobei, amobei oqui (Hoeller 1929:55); amôme (Hoeller 1929:7)",
LX000045,gyr,amba'ɨ,n,,,,,gyr,,,ambaìì (Hoeller 1932a:14); amba ǐ (Hoeller 1929:7),
LX000046,gyr,amba'ɨ mini,n,,,,,gyr,,,ambaì mini (Hoeller 1932a:14); ambaǐmini (Hoeller 1929:7),
LX000047,gyr,amba'ɨva,n,,,,,gyr,,,-; ǐba - ambaǐba (Hoeller 1929:40),
LX000048,gyr,amba'ɨvirer,n,,,,,gyr,,,ambaìguìguir (Hoeller 1932a:14); ambaǐbǐbir (Hoeller 1929:7),
ambere_1,gyr,ambere,n,,,,ambere_voi,gyr,,,ambere (Hoeller 1932a:14),
ambere_2,gyr,ambere,n,,,,,gyr,,,ambere (Hoeller 1932a:14),
ambere_voi,gyr,ambere voi,n,,,,ambere_1,gyr,,,ambere boi (Hoeller 1932a:14),
ambopir,gyr,ambopir,n,,,,,gyr,,,ambópir (Hoeller 1929:7),
ambopirer,gyr,ambopirer,n,,,,,gyr,,,"ambopirer, inimbo ambopirer (Hoeller 1932a:14); yambopirer (Hoeller 1932a:276)",
ambota_1,gyr,ambota,v,,,,yambota,gyr,afeb0dad0283078d87df98dbf5ec8749,"a'e che ambota, a'e ndache'ambotai, ndayaye'ambotai","ambota (Hoeller 1932a:14); yambota (Hoeller 1932a:276); yambota, ayambota - yambota pǐreý (Hoeller 1929:120)",
ambota_2,gyr,ambota,n,,,,,gyr,ef5c5c059e2c42613356c783f4067263,"che ambota, nde ambota, yambota","ambota, che ambota (Hoeller 1932a:14); ambota (Hoeller 1929:7); yambota (Hoeller 1932a:276)",
LX000049,gyr,ambota aprɨ,n,,,,ambota_2,gyr,94721cdfe186d327448c6e8bd1d24e42,"che ambota aprɨ, a'e yampota aprɨ",-; yambota abǐ (Hoeller 1929:120),
LX000050,gyr,ambota avɨ,n,,lit. he misses the beard,,ambota_1,gyr,35e2926934fcf917bc422468dddbe148,"che ambota avɨ, a'e yambota avɨ",-; yambota abǐ (Hoeller 1929:120),
LX000051,gyr,ambotare'ɨ̈mbar,n,,,,LX001825 ; LX001826,gyr,,"che ambotare'ɨmbar, nde ambotare'ɨmbar, yambotare'ɨmbar","ambota, che ambotareỹmbar (Hoeller 1932a:14)",
ambu,gyr,ambu,n,,,,,gyr,,"che ambu, yambu",ambu (Hoeller 1932a:14),
ambuae,gyr,ambuae,adv,,2019: ambɨae,,,gyr,,,"ambuae, ambuaecuar (Hoeller 1932a:14); ambuae (Hoeller 1929:7)",ambɨae
ana,gyr,ana,n,,"Hoeller takes the root as aana with a long vowel, too",,,gyr,,yaana,"ana, yana (Hoeller 1932a:15); ana (Hoeller 1929:8)",
LX000052,gyr,anambu'a,n,,,,,gyr,1bd840b26a4e11f9b17e95b54feccca5,,amambua (Hoeller 1932a:13),
ani,gyr,ani,part,,"this is the common word for 'no' in replies, but it is also used in non-verbal negation; it cannot replace, however, predicate negation by nd-...-i, nor nominal negation eɨ̈; accent is generally on the last syllable in all dialects",,,gyr,,,ani (Hoeller 1932a:18; Hoeller 1929:8),
anivei,gyr,anivei,adv,,,,,gyr,,,anivéi (Hoeller 1929:8),
anu,gyr,anu,n,,Hoeller says it is a black bird,,anu_gwasu,gyr,,,anu (Hoeller 1932a:18),
anu_gwasu,gyr,anu gwasu,n,,,,,gyr,,,anu guazu (Hoeller 1932a:18),
LX000053,gyr,aña,n,,"Hoeller remarks that aña translates as 'devil' in Guaraní, in Guarayu, it is mostly used as aña ruvicha",,,gyr,,,aña (Hoeller 1932a:18),
LX000054,gyr,aña ruvicha,n,,"Hoeller remarks that aña translates as 'devil' in Guaraní, in Guarayu, it is mostly used as aña ruvicha",,ruvicha,gyr,,,"aña, aña ruvicha (Hoeller 1932a:18)",
LX000055,gyr,añakɨgwa,n,,,,LX000054,gyr,,,añaquìgua (Hoeller 1932a:18),
LX000056,gyr,añaratäpɨi,n,,"lit. devil fire (+ pɨ̈i = soft, probably refers to the caterpillar itself)",,LX000053,gyr,,,añaratãpỹĩ (Hoeller 1932a:18),añaratäpɨ̈i
LX000057,gyr,añei,part,,,,,gyr,,,"añeei (Hoeller 1932a:18); añei, añéipâ (Hoeller 1929:8); eguî - eguî añâ (Hoeller 1929:30)",añeï
LX000058,gyr,añeko,n,,,,,gyr,,"che añeko, nde añeko, a'e i'añeko","añeco, añecoza (Hoeller 1932a:18; Hoeller 1929:8)",
LX000059,gyr,añeko,n,,"it is not clear if this is not liturally the same as añeko 'take care, attend'",,,gyr,,,"añeco, añecoza (Hoeller 1932a:18; Hoeller 1929:8)",
LX000060,gyr,añi'ivëi,n,,,,,gyr,,,"añiibei (Hoeller 1932a:19); anivéi, aniboi (Hoeller 1929:8)",añï'ïvëï
LX000061,gyr,andavɨr,n,,2019: andavrɨ,,,gyr,,"che andagwɨr (2019: che andavrɨ, yandavrɨ)","andaguìr, che andaguìr (Hoeller 1932a:15)",andagwɨr
LX000062,gyr,andɨ,n,,,,,gyr,,,andì (Hoeller 1932a:15),
LX000063,gyr,andɨra kɨse,n,,"lit. bat's knife; andɨra 'bat', no entry in dictionary",,LX000514,gyr,,,andìra quìze (Hoeller 1932a:15),
andu,gyr,andu,v,,,,,gyr,b6f4828029ef708a0ddbb3a48cc2ab37,"ayandu, ereyandu, oyandu, che andu",andu (Hoeller 1932a:16; Hoeller 1929:8),
angai,gyr,angai,n,,,,,gyr,,"che angai, nde angai, a'e yangai/ ñangai",angai (Hoeller 1932a:16; Hoeller 1929:8),
angaipa,gyr,angaipa,n,,,,,gyr,,,angaipa (Hoeller 1932a:16; Hoeller 1929:8),
angao,gyr,angao,v,,,,,gyr,,"che añangao, che angao (che = 1SG.O)",ñangao (Hoeller 1932a:150); angao (Hoeller 1932a:17; Hoeller 1929:8),
LX000064,gyr,anga'u,adv,,"nothing happened, without wanting",,,gyr,,,angau (Hoeller 1932a:17),
ao,gyr,ao,v,,,,,gyr,,"ayao, ereyao, oyao","ao, ayao (Hoeller 1932a:19); ao, ayas, aoza (Hoeller 1929:8)",
apa,gyr,apa,v,,,,,gyr,4e5507925d57fe1be928b7f414b2bf85,"ayapa, ereyapa, oyapa, che poapa","apa, ayapa (Hoeller 1932a:19); apa, ayapa (Hoeller 1929:9)",
apachingai,gyr,apachingai,n,,apächi + vai,,,gyr,,,ñãpãchĩbae od. ñãpãchingai (Hoeller 1932a:151),
LX000065,gyr,apachï,n,,,,,gyr,394f20d66b9dace2ed6f03f5674bf6b4,"che apachï, nde apachï, a'e ñapachï",apãchĩ (Hoeller 1932a:20); yapãchĩ (Hoeller 1932a:278); yapechî (Hoeller 1929:120); ñãpãchĩbae od. ñãpãchingai (Hoeller 1932a:151),
apakwa,gyr,apakwa,n,,,,apakwar ; yapakwa,gyr,09d78ad9bffd0266d8e94b1626c86545,"che apakwa (che = 1SG.O), nde apakwa",apacua? (Hoeller 1929:9),
apakwar,gyr,apakwar,n,,,,,gyr,aed0d5ff624b00973bd04c55ef7a6f00,"mba'e apakwar, mberɨ apakwar","apacuàr, mbae apacuar (Hoeller 1932a:19); yapacuar (Hoeller 1932a:278); yapácuar (Hoeller 1929:120)",
apara,gyr,apara,n,,"the translation is difficult, but the idea is that it is a kind of falling suddenly over or shut; since the cause is external, this construction takes the person as an O",,LX000066,gyr,25b6b794c7d1f3c3cb49fcc3680c100f,"che apara, nde apara, a'e yapara",apara (Hoeller 1932a:20); apara; - ayeapara (Hoeller 1929:9); yapara (Hoeller1932a:278),
LX000066,gyr,aparaitɨ,v,,,,apara,gyr,,ayaparaitɨ,aparaitì (Hoeller 1932a:20),
aparera,gyr,aparera,n,,,,LX000020,gyr,,che aparera,"parera, aparera (Hoeller 1932a:165); parera - aba parera (Hoeller 1929:71)",
apaso,gyr,apaso,v,,,,yapaso,gyr,5ddd33711cf4f25a2237fdc501d76709,"ayapaso, che apaso","apazo, ayapazo (Hoeller 1932a:20); yapazo (Hoeller 1932a:278)",
LX000067,gyr,apatuvɨ,n,,,,,gyr,361a23d9dd4523ac22c5c7e8d5ec6c27,"che apatuvɨ, a'e yapatuvɨ",apatuguì (Hoeller 1932a:20); yapatuguì (Hoeller 1932a:278),
apayere,gyr,apayere,n,,,,kuchirapa,gyr,3b4755325af6ade5dbc32f6c06dad4f1 ; e8315f54584d2fe4dab23dc812cf12f8,"che apayere, ayeapayere","apayere, che apayere (Hoeller 1932a:20); apayere, oyapayere (Hoeller 1929:9); yapayere (Hoeller 1932a:278)",
ape_1,gyr,ape,n,,,,yape_1,gyr,62a96ef93ec78abf0589271f636a4013,"che ape, yape",ape (Hoeller 1932a:20-21),
ape_2,gyr,ape,n,,,,,gyr,,,ape (Hoeller 1932a:20),
apeape,gyr,apeape,n,,,,apeape_gwasu,gyr,c3b035fc4fbbbcd3a78bfd3f21703207,,ape ape (Hoeller 1932a:21),
apeape_gwasu,gyr,apeape gwasu,n,,,,apeape,gyr,efa302da7000dfc1639003bdab8ad45f,,apeapeguazu (Hoeller 1932a:21),
apeape_usa,gyr,apeape usa,n,,lit. the cockroach eater,,apeape,gyr,2dea5358852ab8a95713ac29aee908c6,,"apeapeuza (Hoeller 1932a:21) ; yape uza, ape ape uza (Hoeller 1929:121)",
LX000068,gyr,apeɨ,n,,,,,gyr,,,apeì (Hoeller 1932a:21),
LX000069,gyr,apeɨ'a,n,,,,LX000068,gyr,,,apeìa (Hoeller 1932a:21),
apeka,gyr,apeka,v,,,,,gyr,,ayapeka,"apeca, ayapeca (Hoeller 1932a:21)",
apeno,gyr,apeno,n,,,,,gyr,a1c6ccf79bc8fd5705f714f9362649c5,,apeno (Hoeller 1932a:21); yapeno (Hoeller 1932a:279),
apengo,gyr,apengo,v,,,,,gyr,,ayapengo,apengo (Hoeller 1932a:21),
apepo,gyr,apepo,n,,,,,gyr,5d25fe90eda2889e467c4f411526bb9c,"che apepo, nde apepo, a'e yapepo","apepo (Hoeller 1932a:21) ; ya?ñae, yaepepo (Hoeller 1929:119)",
LX000070,gyr,apepösa,n,,,,ape_2,gyr,,,"apepõza (Hoeller 1932a:20,22)",
apepu,gyr,apepu,v,,,,,gyr,,yapepu,"apepu, yapepu (Hoeller 1932a:22)",
LX000071,gyr,apere'a,n,,,,,gyr,,,aperea (Hoeller 1932a:22),
LX000072,gyr,apero epɨ,exp,,not idientified construction,,,gyr,,apero epɨ (1),-; zepǐbae - amboepǐ - azepi - apero epǐ ? - ayeopǐ yepǐza (Hoeller 1929:104),
apete,gyr,apete,v,,,,popete,gyr,df8446752b1485f8783fec6c921e164c,"ayapete, ereyapete, (che apete)","apete (Hoeller 1932a:22); apete, ayapete (Hoeller 1929:9)",
LX000073,gyr,apë,n,,,,LX001013,gyr,,,apẽ (Hoeller 1932a:21),
LX000074,gyr,apëku,n,,,,,gyr,,,"apẽcũ (Hoeller 1932a:21); apècû (Hoeller 1929:9); ñapẽcũ (Hoeller 1932a:151); ñapecu, cu ñapecu achî (Hoeller 1929:64)",
LX000075,gyr,apëku achï,n,,,,,gyr,,,"apẽcũ (Hoeller 1932a:21); apècû (Hoeller 1929:9); ñapẽcũ; ñapẽcu ãchĩ (Hoeller 1932a:151); ñapecu, cu ñapecu achî (Hoeller 1929:64)",apëkuchï
LX000076,gyr,apëpï,v,,,,,gyr,,ayapëpï,apepĩ (Hoeller 1932a:21),
LX000077,gyr,apëre,n,,,,,gyr,0106197f37c41dc17ca7d5ef9eaabebd,"che apërë, nde apërë, ñapërë",apẽrẽ (Hoeller 1932a:22); aperê (Hoeller 1929:9); yapẽrẽ (Hoeller 1932a:279); yapêne (Hoeller 1929:121),
LX000078,gyr,apësa,n,,,,,gyr,,,apêza (Hoeller 1929:9),
api,gyr,api,v,,,,yapi,gyr,b9e9ee4bcf3d94fc3b0efc5cd0551415,"ayapi, ereyapi, oyapi; che api, che ayeapi",api (Hoeller 1932a:22); api (Hoeller 1929:9),
apicha,gyr,apicha,v,,,,yapicha,gyr,0973e769d3c0ed2ca67908cea21f5bc8,"ayapicha, che apicha","apicha (Hoeller 1932a:22); apicha, ayapicha (zeze) (Hoeller 1929:10)",
apichasa,gyr,apichasa,n,,,,yapicha,gyr,,,apicha; apichaza (Hoeller 1932a:22),
apiche,gyr,apiche,n,,,,yapiche,gyr,9a3b8d5de2a15f535ba9f7f1b5f07787,yapiche,"apiche (Hoeller 1932a:22); apiche, yapiche (Hoeller 1929:10)",
apigwer,gyr,apigwer,n,,,,api,gyr,,,api; apigwer (Hoeller 1932a:22),
LX000079,gyr,apiku'i,n,,,,,gyr,,,-; cui - nâcâ cui - cui apua (Hoeller 1929:25),
apindo,gyr,apindo,n,,,,,gyr,d060aad0055632c79cf6ff9caf8423fb,avachi apindogwer,apindo abacgi apindoguer (Hoeller 1932a:22-23),
apira,gyr,apira,n,,,,,gyr,,,apira (Hoeller 1932a:23),
apirai_1,gyr,apirai,v,,,,yapirai,gyr,762dcf488ddaefdac89d00a23561034c,"ayapirai, che apirai ; ayapirai, ereyapirai, oyapirai, yayapirai, che apirai",yapirai (Hoeller 1932a:280),
apirai_2,gyr,apirai,n,,compound with a 'hair',,,gyr,,,apirài (Hoeller 1932a:23); apirai (Hoeller 1929:10),
LX000080,gyr,apiravo'o,v,,,,,gyr,,ayapiravo'o,apiraboo (Hoeller 1932a:23),
LX000081,gyr,apire'ɨ̈i,v,,,,LX000260,gyr,5c3a2891b4036b9917416214047cebd3,"ayapirë'ɨi, ereyapirë'ɨ̈i, oyapirë'ɨ̈i",apirẽỹ (Hoeller 1932a:23); yapirẽỹ (Hoeller 1932a:280); yeapirẽỹĩ (Hoeller 1932a:287); ñeapireý (Hoeller 1929:64),
LX000082,gyr,apirɨpe,n,,,,,gyr,,,apiripe (Hoeller 1932a:23); apǐripe? (Hoeller 1929:),
LX000083,gyr,api'a,n,,,,LX001237,gyr,,"che rapia (f), che rapi'a'ɨ̈i (m)",apia (Hoeller 1932a:22); apia? (Hoeller 1929:9),
LX000084,gyr,api'a'ɨ̈i,n,,,,LX000123,gyr,,"che rapia (f), che rapi'a'̈ɨi (m)",apia (Hoeller 1932a:22); apia? (Hoeller 1929:9),
LX000085,gyr,apï,v,,incorporation with a 'hair',,,gyr,,añapï,"apĩ, añapĩ (Hoeller 1932a:22); apǐ, añapǐ (Hoeller 1929:9)",
LX000086,gyr,apïramo,v,,,,,gyr,145096a6a485b15e3ad24a144b28d057,"ayapïramo, pa'i che apïramo",yapiramo (Hoeller 1932a:280); apiramo (Hoeller 1932a:23; Hoeller 1929:10),
LX000087,gyr,apïro,v,,,,,gyr,e1a39ceef51e7a691edafd40c2916b2c,"añapïro, ereñapïro; che apïro (che rapïro); yañapïro, yande apïro","-; yapiro, ayapirô (Hoeller 1929:121)",
LX000088,gyr,apïta,n,,,,,gyr,df9bad6ff538a8790154fe4eb0f9af4e,"che apïta, nde apïta, a'e ñapïta","apĩtã; yapĩtã (Hoeller 1932a:23, 280)",
